Ident. Pedido,Estabelecimento,Tipo Entrega,Tipo Estab.,Início Preparo,Início Entrega,Término Entrega,Lat Cliente,Lon Cliente,Lat Estab.,Lon Estab.
1cacec82-a04b-436d-85a1-43d88a8a0dc8,1306721,IFOOD,Comida Brasileira,2023-01-10 11:45:16.332163,2023-01-10 11:59:34.116133,2023-01-10 12:14:26.620230,-3.712,-38.558,-3.722411,-38.536016
878c07d9-3a3f-48cc-b366-313a9b7b50dd,1306721,IFOOD,Comida Brasileira,2023-01-10 11:32:40.140076,2023-01-10 11:47:07.592505,2023-01-10 12:06:22.826863,-3.74,-38.556,-3.722411,-38.536016
13fc3338-9b59-43b5-86b3-304374c4ae87,1306721,IFOOD,Comida Brasileira,2023-01-11 19:43:58.168272,2023-01-11 19:56:11.151737,2023-01-11 20:03:31.939508,-3.726,-38.522,-3.722411,-38.536016
decb1537-18d8-4473-8b9f-ea4398f180bd,1306721,IFOOD,Comida Brasileira,2023-01-11 13:18:21.366962,2023-01-11 13:33:46.888340,2023-01-11 13:49:32.400183,-3.745,-38.542,-3.722411,-38.536016
8e6ab5de-4188-4a75-9b91-939c09c37043,1306721,IFOOD,Comida Brasileira,2023-01-11 18:34:35.045062,2023-01-11 18:55:22.037076,2023-01-11 19:11:36.456606,-3.727,-38.555,-3.722411,-38.536016
d861a0db-e0a0-4a64-b71e-31fecdb64455,1306721,IFOOD,Comida Brasileira,2023-01-11 13:15:18.766023,2023-01-11 13:37:15.843313,2023-01-11 13:54:58.379923,-3.732,-38.509,-3.722411,-38.536016
832e87ce-f911-4078-a7ea-36d4f0cef46c,1306721,IFOOD,Comida Brasileira,2023-01-11 20:41:37.015500,2023-01-11 21:17:47.002788,2023-01-11 21:28:55.765856,-3.735,-38.524,-3.722411,-38.536016
8b287e35-3b00-4a48-87fe-e938178612b9,1306721,IFOOD,Comida Brasileira,2023-01-11 19:34:33.333857,2023-01-11 19:49:54.980410,2023-01-11 19:55:53.530032,-3.72,-38.53,-3.722411,-38.536016
5b82e89a-3a98-426f-ac7c-984471d0ee33,1306721,IFOOD,Comida Brasileira,2023-01-11 12:06:35.256787,2023-01-11 12:19:08.656997,2023-01-11 12:36:40.691615,-3.734,-38.551,-3.722411,-38.536016
6530d91f-9494-449d-90f3-e54490a8ec97,1306721,IFOOD,Comida Brasileira,2023-01-10 12:53:33.193878,2023-01-10 12:58:04.633885,2023-01-10 13:11:50.938806,-3.731,-38.56,-3.722411,-38.536016
bb741ca9-fa2b-4719-8d0d-7b57b20841b2,1306721,IFOOD,Comida Brasileira,2023-01-10 14:26:58.477176,2023-01-10 14:36:12.294291,2023-01-10 14:51:27.817835,-3.721,-38.56,-3.722411,-38.536016
a3f72e4d-814f-4e34-9296-c9a9f81233ec,1306721,IFOOD,Comida Brasileira,2023-01-10 11:21:30.566939,2023-01-10 11:38:54.994872,2023-01-10 11:44:59.219459,-3.722,-38.534,-3.722411,-38.536016
21e0c034-69c2-4751-8c56-c29cd6d30670,1306721,IFOOD,Comida Brasileira,2023-01-10 19:20:29.388457,2023-01-10 19:32:26.705590,2023-01-10 19:44:51.389919,-3.729,-38.51,-3.722411,-38.536016
9f57ba39-2115-4bfc-93c5-56277e28ec07,1306721,IFOOD,Comida Brasileira,2023-01-10 12:41:08.569360,2023-01-10 12:47:36.767399,2023-01-10 13:01:27.616857,-3.729,-38.516,-3.722411,-38.536016
f1fe5360-254d-4a64-a77d-318d6af9358b,1306721,IFOOD,Comida Brasileira,2023-01-10 11:44:15.100231,2023-01-10 11:59:34.207560,2023-01-10 12:22:26.607594,-3.71,-38.56,-3.722411,-38.536016
379fbe21-b0cf-4239-9a14-af95257cfcd6,1306721,IFOOD,Comida Brasileira,2023-01-10 11:49:49.334824,2023-01-10 12:00:54.278466,2023-01-10 12:13:49.581516,-3.729,-38.555,-3.722411,-38.536016
d0919cb7-ac46-415d-bb66-539dcf2d3e61,1306721,IFOOD,Comida Brasileira,2023-01-10 19:12:46.474086,2023-01-10 19:21:00.995890,2023-01-10 19:52:26.962963,-3.731,-38.548,-3.722411,-38.536016
fb6a5db1-3367-4fc1-afb8-bae8bd03c3b1,1306721,IFOOD,Comida Brasileira,2023-01-10 18:27:18.775997,2023-01-10 18:43:03.859540,2023-01-10 18:57:35.841904,-3.743,-38.541,-3.722411,-38.536016
ae01658f-f813-4e47-9d0c-81fd27b02265,1306721,IFOOD,Comida Brasileira,2023-01-10 20:46:57.450953,2023-01-10 20:58:11.721677,2023-01-10 21:08:01.886913,-3.728,-38.519,-3.722411,-38.536016
5252cc31-dbcd-460a-83ff-0605dbd0204b,1306721,IFOOD,Comida Brasileira,2023-01-10 11:50:50.312870,2023-01-10 12:04:23.657397,2023-01-10 12:14:28.753190,-3.741,-38.544,-3.722411,-38.536016
3d071b3c-8cde-4d69-8b43-8b9ba6c4617b,1306721,IFOOD,Comida Brasileira,2023-01-10 13:18:30.418970,2023-01-10 13:23:24.212156,2023-01-10 13:42:55.665658,-3.735,-38.557,-3.722411,-38.536016
c540e00c-334f-4d41-9ef7-876353ad858d,1306721,IFOOD,Comida Brasileira,2023-01-10 11:15:12.687571,2023-01-10 11:26:44.403626,2023-01-10 11:42:36.331757,-3.735,-38.521,-3.722411,-38.536016
ec61ac18-cc48-40b4-9e75-ed4a3f6a6ac9,1306721,IFOOD,Comida Brasileira,2023-01-10 12:19:12.170406,2023-01-10 12:28:01.708655,2023-01-10 12:38:16.466736,-3.73,-38.522,-3.722411,-38.536016
d704f7a0-47ec-49b1-b1a7-1bdcfabe2522,1306721,IFOOD,Comida Brasileira,2023-01-10 12:00:59.728154,2023-01-10 12:10:17.049670,2023-01-10 12:35:06.042187,-3.734,-38.522,-3.722411,-38.536016
a9cdfd80-d37b-4dcd-b160-146c117f35dd,1306721,IFOOD,Comida Brasileira,2023-01-10 18:35:26.306042,2023-01-10 18:52:05.482735,2023-01-10 19:01:34.540206,-3.73,-38.522,-3.722411,-38.536016
abc6e8dc-519a-404e-83a7-ac6b0177a745,1306721,IFOOD,Comida Brasileira,2023-01-10 13:24:36.204604,2023-01-10 13:42:43.488443,2023-01-10 13:56:03.429167,-3.715,-38.553,-3.722411,-38.536016
b2964125-9f24-429c-a917-b6cd6bcc4a7a,1306721,IFOOD,Comida Brasileira,2023-01-10 12:44:11.180919,2023-01-10 12:52:52.770323,2023-01-10 13:21:30.229019,-3.726,-38.49,-3.722411,-38.536016
71de4b27-ca35-4b0a-92ab-dac1d25b623f,1306721,IFOOD,Comida Brasileira,2023-01-09 18:01:17.962919,2023-01-09 18:10:59.758438,2023-01-09 18:22:55.600014,-3.742,-38.532,-3.722411,-38.536016
5214fa5f-c2c6-456b-b296-a55e19323852,1306721,IFOOD,Comida Brasileira,2023-01-09 11:12:25.489706,2023-01-09 11:27:31.558803,2023-01-09 11:36:59.433972,-3.718,-38.542,-3.722411,-38.536016
828778e7-8ccd-41c0-b307-1607ba543d38,1306721,IFOOD,Comida Brasileira,2023-01-09 19:29:22.077921,2023-01-09 19:47:11.821931,2023-01-09 20:03:02.239068,-3.716,-38.546,-3.722411,-38.536016
1c8ec714-d98a-44cc-abc6-9bbe1b2eb8c6,1306721,IFOOD,Comida Brasileira,2023-01-09 19:45:18.712685,2023-01-09 20:04:32.970337,2023-01-09 20:16:18.667853,-3.733,-38.541,-3.722411,-38.536016
de5a3f35-00c8-4622-b58e-1203128cb99b,1306721,IFOOD,Comida Brasileira,2023-01-10 20:15:23.150052,2023-01-10 20:33:28.350806,2023-01-10 20:47:08.058156,-3.737,-38.522,-3.722411,-38.536016
7d342d82-8852-4fc8-8f01-d12aef099436,1306721,IFOOD,Comida Brasileira,2023-01-09 19:22:50.212425,2023-01-09 19:48:31.680120,2023-01-09 19:57:06.827928,-3.737,-38.525,-3.722411,-38.536016
2c79fb52-5d37-4c40-8414-36b427bc43f5,1306721,IFOOD,Comida Brasileira,2023-01-09 18:44:07.830530,2023-01-09 19:04:53.499632,2023-01-09 19:31:14.853775,-3.746,-38.546,-3.722411,-38.536016
9a8b02b7-b213-4661-90e3-c6df102b49e5,1306721,IFOOD,Comida Brasileira,2023-01-09 12:11:06.841794,2023-01-09 12:23:42.047595,2023-01-09 12:36:59.445373,-3.723,-38.542,-3.722411,-38.536016
952668ff-f0b2-4a89-b0aa-cd2d7a8d6b3c,1306721,IFOOD,Comida Brasileira,2023-01-11 11:22:00.811105,2023-01-11 11:40:04.005401,2023-01-11 11:48:04.339239,-3.726,-38.526,-3.722411,-38.536016
7a584c1a-6f3d-4ec5-9dce-4384128a7d19,1306721,IFOOD,Comida Brasileira,2023-01-11 12:15:14.516271,2023-01-11 12:20:07.932131,2023-01-11 12:29:28.529502,-3.723,-38.549,-3.722411,-38.536016
ac77dc81-60eb-4455-b42d-dfa18768cfdb,1306721,IFOOD,Comida Brasileira,2023-01-11 13:21:24.085603,2023-01-11 13:39:09.420457,2023-01-11 13:54:12.030099,-3.719,-38.544,-3.722411,-38.536016
1c7adbb0-ff86-4224-b6f0-3069e8951b55,1306721,IFOOD,Comida Brasileira,2023-01-09 11:07:50.976692,2023-01-09 11:27:31.598598,2023-01-09 11:46:59.640372,-3.723,-38.549,-3.722411,-38.536016
b1e31abe-6876-4890-a8b2-d0c085351277,1306721,IFOOD,Comida Brasileira,2023-01-09 19:18:45.407899,2023-01-09 19:31:18.694464,2023-01-09 19:45:18.594419,-3.72,-38.514,-3.722411,-38.536016
3c92a1ba-ed9e-44dc-b988-0bdc75d8c600,1306721,IFOOD,Comida Brasileira,2023-01-09 12:27:50.287494,2023-01-09 12:33:06.076483,2023-01-09 12:44:16.281157,-3.734,-38.554,-3.722411,-38.536016
905eb9da-84cf-4d09-8e4e-244ff5786a6b,1306721,IFOOD,Comida Brasileira,2023-01-09 13:26:57.381453,2023-01-09 13:32:50.455790,2023-01-09 13:47:49.954095,-3.734,-38.512,-3.722411,-38.536016
bb8e5f60-6073-4671-9db8-d84627230945,1306721,IFOOD,Comida Brasileira,2023-01-09 13:06:14.248013,2023-01-09 13:15:26.397006,2023-01-09 13:28:57.856771,-3.748,-38.538,-3.722411,-38.536016
c8db69cf-89cf-42a3-9666-a7bff662e393,1306721,IFOOD,Comida Brasileira,2023-01-09 19:37:06.047843,2023-01-09 19:55:29.927785,2023-01-09 20:06:37.560371,-3.737,-38.522,-3.722411,-38.536016
c2acc7e9-8ec6-4c8a-b4ff-00de21e0309f,1306721,IFOOD,Comida Brasileira,2023-01-09 19:42:14.252161,2023-01-09 19:56:44.235127,2023-01-09 20:11:52.447655,-3.745,-38.528,-3.722411,-38.536016
df777a2d-b8c9-425a-9375-8988c4cdfde9,1306721,IFOOD,Comida Brasileira,2023-01-09 13:20:25.283226,2023-01-09 13:36:52.681600,2023-01-09 13:44:14.608930,-3.719,-38.545,-3.722411,-38.536016
2140ba2a-dc2d-4263-8807-0c155f074e61,1306721,IFOOD,Comida Brasileira,2023-01-11 12:03:01.909243,2023-01-11 12:11:09.162895,2023-01-11 12:24:34.578032,-3.74,-38.534,-3.722411,-38.536016
860cba31-c32c-4833-9372-e8f06e674965,1306721,IFOOD,Comida Brasileira,2023-01-11 13:27:51.294261,2023-01-11 13:47:12.800727,2023-01-11 14:08:01.240768,-3.769,-38.552,-3.722411,-38.536016
